driverId,positionOrder,pit_stops,avg_pit_duration
hamilton,1,2.0,1044.3210000000001
leclerc,2,2.0,1038.082
bottas,3,2.0,1038.6789999999999
norris,4,2.0,1041.962
ricciardo,5,2.0,1040.049
sainz,6,2.0,1048.3155
alonso,7,2.0,1044.1615
stroll,8,2.0,1048.037
ocon,9,2.0,1047.883
tsunoda,10,2.0,1052.4145
gasly,11,3.0,708.0363333333333
russell,12,2.0,1050.1775
giovinazzi,13,2.0,1049.1935
latifi,14,2.0,1052.3535000000002
raikkonen,15,2.0,1045.547
perez,16,4.0,540.3067500000001
mazepin,17,2.0,1053.115
mick_schumacher,18,2.0,1052.5235
vettel,19,2.0,1041.6835
max_verstappen,20,,
