driverId,lap,stop,time,duration
leclerc,2,1,15:07:57,34:07.731
hamilton,2,1,15:08:00,34:08.376
bottas,2,1,15:08:02,34:09.149
norris,2,1,15:08:03,34:12.218
ricciardo,2,1,15:08:05,34:11.281
vettel,2,1,15:08:08,34:15.222
alonso,2,1,15:08:10,34:18.580
sainz,2,1,15:08:12,34:19.122
raikkonen,2,1,15:08:14,34:22.984
ocon,2,1,15:08:16,34:26.994
stroll,2,1,15:08:18,34:27.861
gasly,2,1,15:08:21,34:27.244
giovinazzi,2,1,15:08:22,34:30.250
russell,2,1,15:08:25,34:32.543
tsunoda,2,1,15:08:28,34:35.695
mick_schumacher,2,1,15:08:30,34:35.728
latifi,2,1,15:08:32,34:37.164
mazepin,2,1,15:08:35,34:36.977
perez,2,1,15:08:37,34:36.405
raikkonen,18,2,16:09:59,28.110
perez,18,2,16:10:00,27.892
russell,18,2,16:10:03,27.812
vettel,18,2,16:10:08,28.145
ocon,19,2,16:11:30,28.772
latifi,19,2,16:11:41,27.543
ricciardo,20,2,16:12:48,28.817
norris,21,2,16:14:08,31.706
bottas,22,2,16:15:42,28.209
stroll,23,2,16:17:39,28.213
giovinazzi,23,2,16:17:51,28.137
alonso,24,2,16:19:10,29.743
mick_schumacher,24,2,16:20:00,29.319
mazepin,25,2,16:21:37,29.253
hamilton,27,2,16:23:17,40.266
sainz,28,2,16:25:06,37.509
gasly,28,2,16:25:29,28.685
leclerc,29,2,16:26:18,28.433
tsunoda,30,2,16:28:42,29.134
perez,38,3,16:41:17,27.848
gasly,46,3,16:53:40,28.180
perez,48,4,16:56:54,29.082
